"ID","CUSTOMER_GRADE","STATUS_PANTINUM","STATUS_GOLD","STATUS_SILVER","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y2","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","SERVICE_FLAG","CANCEL_FLAG","CREDIT_FLAG","BENEFIT_FLAG","BUYER_FLAG"
50001,5.21995305615489,0,0,0,2,50,18,94,98.5,83,83,79,78.2,93,87.1,58.4,57.6,0,0,0,0,0
50002,9.16834959203789,0,1,0,4,48,22,182,180.5,180,188.5,188,186.4,193.4,172.2,179.1,215.9,0,0,0,1,0
50003,15.3117333080402,0,0,0,1,92,23,93,91.5,87.5,81.5,90.5,70.4,81.8,72.5,88.5,98.8,0,1,0,0,0
50004,11.5988159860811,0,0,0,6,12,25,63.5,63,64,62,61.5,88.5,72.8,74.4,77.5,74.7,0,0,0,0,0
50005,7.91946891702301,0,0,0,1,70,13,68,66.5,69.5,63.5,68.5,75.4,43.1,37.2,39.2,39.9,0,0,0,0,0
50006,8.35236010689346,0,0,0,7,10,20,63.5,61,60.5,62,67,57.4,94.8,88.2,71.5,90.4,0,0,0,0,0
50007,13.2588900840652,0,0,0,4,18,20,67,67,66,67,61,64.2,55.3,75,94.5,73.2,0,1,0,0,0
50008,10.9546002942187,0,0,0,2,28,18,66,54,51.5,64,69,47.5,53.8,57.4,65.8,60.1,0,0,0,0,0
50009,9.62819541908399,1,0,0,1,200,38,234,207,210,200.5,200,201.6,222.7,209.3,218.6,229.1,0,0,0,1,0
50010,3.25862916067188,0,0,0,4,20,25,74.5,73,63,66,72.5,47.1,50.9,56.5,59.3,52.4,0,0,0,0,0
50011,13.6824203973304,0,0,1,6,18,17,101.5,91.5,91.5,80.5,93,125.8,123.2,112.1,123.2,109.7,0,0,0,0,0
50012,12.0033135530461,0,0,0,5,18,20,91.5,91,95.5,87,82.5,70.5,90.5,54.5,108.7,87.2,0,0,0,0,0
50013,11.4946950712535,0,0,1,3,36,23,111,108,105.5,107,107.5,108.8,92.3,108.5,102.8,109,0,0,0,0,0
50014,13.3489850301779,0,0,0,10,10,21,82.5,87,85.5,90,81,66.2,82.8,119.5,120.4,77.8,0,0,0,0,0
